Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
55.5002	4.00E-06
56.0002	5.42E-06
56.5002	9.04E-07
57.0002	4.00E-06
57.5002	5.59E-06
58.0002	1.99E-06
58.5002	5.21E-06
59.0002	3.02E-06
59.5002	3.05E-06
60.0002	5.45E-06
60.5002	3.35E-06
61.0001	5.39E-06
61.5001	6.13E-06
62.0001	6.51E-06
62.5001	7.06E-06
63.0001	5.22E-06
63.5001	5.35E-06
64.0001	9.66E-06
64.5001	7.51E-06
65.0001	9.98E-06
65.5001	1.30E-05
66.0001	7.69E-06
66.5001	1.43E-05
66.9985	1.44E-05
67.5001	1.77E-05
68.0001	1.46E-05
68.5001	1.77E-05
69.0001	1.69E-05
69.5001	1.68E-05
70.0001	1.91E-05
70.5001	2.13E-05
71.0001	2.26E-05
71.5001	2.31E-05
72.0001	2.58E-05
72.5001	2.92E-05
73.0001	3.46E-05
73.5	3.43E-05
74	4.34E-05
74.5	5.37E-05
75	6.80E-05
75.5	8.61E-05
76	9.74E-05
76.5	0.000122667
77	0.000143767
77.5	0.00018108
78	0.000233651
78.5	0.000303151
79	0.000402095
79.5	0.000526194
80	0.000711087
80	0.00100649
-70.4988	0.000254931
-69.9988	0.000242502
-69.4988	0.000232012
-68.9988	0.000222147
-68.4989	0.000207127
-67.9989	0.000189246
-67.4989	0.000172646
-66.9989	0.000155331
-66.4989	0.000134216
-65.9989	0.000124135
-65.4989	0.000114084
-64.9989	0.000113741
-64.4989	0.000101023
-63.9989	9.55E-05
-63.4989	9.00E-05
-62.9996	8.47E-05
-62.4989	8.20E-05
-61.9989	7.45E-05
-61.4989	7.44E-05
-60.9989	6.78E-05
-60.4989	6.83E-05
-59.9989	5.85E-05
-59.4989	6.34E-05
-58.9989	5.73E-05
-58.4989	5.40E-05
-57.9989	5.26E-05
-57.4993	5.13E-05
-56.9989	4.85E-05
-56.4989	4.83E-05
-55.9989	4.56E-05
-55.4989	4.22E-05
-54.9989	4.00E-05
-54.499	3.89E-05
-53.999	3.59E-05
-53.499	3.49E-05
-52.999	3.82E-05
-52.499	3.46E-05
-51.999	3.15E-05
-51.499	2.76E-05
-50.999	2.93E-05
-50.499	3.04E-05
-49.999	2.69E-05
-49.499	2.78E-05
-48.999	2.35E-05
-48.499	2.23E-05
-47.999	2.22E-05
-47.499	2.35E-05
-46.999	2.58E-05
-46.499	2.69E-05
-45.999	2.76E-05
-45.499	2.66E-05
-44.999	2.81E-05
-44.499	2.98E-05
-43.999	3.05E-05
-43.499	3.01E-05
-42.9991	2.74E-05
-42.4991	2.75E-05
-41.9991	2.86E-05
-41.4991	2.79E-05
-40.9991	2.95E-05
-40.4991	3.03E-05
-39.9991	2.86E-05
-39.4991	3.20E-05
-38.9991	2.71E-05
-38.4991	2.88E-05
-37.9991	3.27E-05
-37.4991	3.35E-05
-36.9991	3.13E-05
-36.5008	3.47E-05
-35.9991	3.13E-05
-35.4991	2.91E-05
-34.9991	3.29E-05
-34.4991	3.27E-05
-33.9991	3.37E-05
-33.4991	3.10E-05
-32.9991	3.37E-05
-32.4991	3.30E-05
-31.9991	3.42E-05
-31.4991	3.48E-05
-30.9991	3.43E-05
-30.4991	3.26E-05
-29.9991	3.71E-05
-29.4992	3.25E-05
-28.9992	3.57E-05
-28.4992	3.36E-05
-27.9992	3.26E-05
-27.4995	3.58E-05
-26.9992	3.28E-05
-26.4992	3.57E-05
-25.9993	3.41E-05
-25.4993	3.20E-05
-24.9995	3.55E-05
-24.4995	3.49E-05
-23.9995	3.31E-05
-23.5001	3.22E-05
-22.9992	3.46E-05
-22.4992	3.39E-05
-21.9992	3.39E-05
-21.4992	3.36E-05
-20.9992	3.56E-05
-20.4992	3.55E-05
-19.9992	3.71E-05
-19.4992	3.70E-05
-18.9992	3.74E-05
-18.4992	3.37E-05
-17.9992	3.58E-05
-17.5012	3.41E-05
-16.9992	3.45E-05
-16.4993	3.35E-05
-15.9993	3.36E-05
-15.4993	3.47E-05
-14.9993	3.56E-05
-14.4993	3.33E-05
-13.9993	3.55E-05
-13.4993	3.54E-05
-12.9993	3.76E-05
-12.4993	3.49E-05
-11.9993	3.53E-05
-11.4993	3.65E-05
-10.9993	3.56E-05
-10.4993	3.42E-05
-9.99931	3.63E-05
-9.49931	3.60E-05
-8.99931	3.76E-05
-8.49931	3.96E-05
-7.99931	3.98E-05
-7.49932	3.80E-05
-6.99932	3.75E-05
-6.49934	3.61E-05
-5.99934	3.46E-05
-5.49934	3.70E-05
-4.99934	3.55E-05
-4.49934	3.85E-05
